,FlyFrom,FlyTo,DepartTimeUTC,ArrivalTimeUTC,Price,DataDate
510661,ATL,EWR,2019-09-11 00:30:00,2019-09-11 02:55:00,66,20190706
510682,ATL,EWR,2019-09-11 16:15:00,2019-09-11 18:38:00,71,20190706
510685,ATL,EWR,2019-09-14 16:15:00,2019-09-14 18:38:00,71,20190706
510690,ATL,EWR,2019-09-10 21:42:00,2019-09-11 00:14:00,71,20190706
510699,ATL,EWR,2019-09-12 21:42:00,2019-09-13 00:14:00,78,20190706
510728,ATL,EWR,2019-09-10 00:30:00,2019-09-10 02:55:00,94,20190706
510730,ATL,EWR,2019-09-14 00:30:00,2019-09-14 02:55:00,94,20190706
510785,ATL,EWR,2019-09-13 16:15:00,2019-09-13 18:38:00,98,20190706
510888,ATL,EWR,2019-09-12 11:31:00,2019-09-12 13:40:00,99,20190706
510889,ATL,EWR,2019-09-11 11:31:00,2019-09-11 13:40:00,99,20190706
510893,ATL,EWR,2019-09-11 02:35:00,2019-09-11 04:46:00,99,20190706
510899,ATL,EWR,2019-09-12 02:35:00,2019-09-12 04:46:00,99,20190706
510900,ATL,EWR,2019-09-10 02:35:00,2019-09-10 04:46:00,99,20190706
510987,ATL,EWR,2019-09-11 22:42:00,2019-09-12 01:00:00,99,20190706
511006,ATL,EWR,2019-09-14 23:51:00,2019-09-15 02:10:00,99,20190706
511009,ATL,EWR,2019-09-12 00:00:00,2019-09-12 02:23:00,99,20190706
511040,ATL,EWR,2019-09-11 13:15:00,2019-09-11 15:29:00,117,20190706
511041,ATL,EWR,2019-09-14 13:15:00,2019-09-14 15:29:00,117,20190706
511047,ATL,EWR,2019-09-10 13:15:00,2019-09-10 15:29:00,117,20190706
511125,ATL,EWR,2019-09-13 00:30:00,2019-09-13 02:55:00,117,20190706
511168,ATL,EWR,2019-09-12 00:30:00,2019-09-12 02:55:00,118,20190706
511232,ATL,EWR,2019-09-10 16:05:00,2019-09-10 18:09:00,122,20190706
511269,ATL,EWR,2019-09-12 16:15:00,2019-09-12 18:26:00,121,20190706
511276,ATL,EWR,2019-09-10 18:25:00,2019-09-10 20:38:00,122,20190706
511284,ATL,EWR,2019-09-11 14:45:00,2019-09-11 17:00:00,121,20190706
511312,ATL,EWR,2019-09-11 00:00:00,2019-09-11 02:23:00,122,20190706
511347,ATL,EWR,2019-09-14 16:35:00,2019-09-14 18:38:00,122,20190706
511365,ATL,EWR,2019-09-13 16:05:00,2019-09-13 18:09:00,122,20190706
511366,ATL,EWR,2019-09-12 16:05:00,2019-09-12 18:09:00,122,20190706
511372,ATL,EWR,2019-09-11 16:05:00,2019-09-11 18:09:00,122,20190706
511407,ATL,EWR,2019-09-11 13:18:00,2019-09-11 15:24:00,122,20190706
511424,ATL,EWR,2019-09-12 14:50:00,2019-09-12 16:57:00,122,20190706
511426,ATL,EWR,2019-09-10 14:50:00,2019-09-10 16:57:00,122,20190706
511428,ATL,EWR,2019-09-11 14:50:00,2019-09-11 16:57:00,122,20190706
511466,ATL,EWR,2019-09-13 11:31:00,2019-09-13 13:40:00,122,20190706
511479,ATL,EWR,2019-09-10 11:31:00,2019-09-10 13:40:00,122,20190706
511514,ATL,EWR,2019-09-14 16:20:00,2019-09-14 18:30:00,122,20190706
511543,ATL,EWR,2019-09-10 16:20:00,2019-09-10 18:30:00,123,20190706
511547,ATL,EWR,2019-09-11 16:30:00,2019-09-11 18:41:00,122,20190706
511552,ATL,EWR,2019-09-14 19:04:00,2019-09-14 21:15:00,122,20190706
511621,ATL,EWR,2019-09-13 18:25:00,2019-09-13 20:38:00,122,20190706
511636,ATL,EWR,2019-09-11 18:25:00,2019-09-11 20:38:00,122,20190706
511671,ATL,EWR,2019-09-11 17:15:00,2019-09-11 19:29:00,122,20190706
511675,ATL,EWR,2019-09-10 17:15:00,2019-09-10 19:29:00,122,20190706
511680,ATL,EWR,2019-09-12 17:15:00,2019-09-12 19:29:00,122,20190706
511707,ATL,EWR,2019-09-12 14:45:00,2019-09-12 17:00:00,122,20190706
511737,ATL,EWR,2019-09-10 14:45:00,2019-09-10 17:00:00,123,20190706
511746,ATL,EWR,2019-09-10 20:25:00,2019-09-10 22:41:00,122,20190706
511749,ATL,EWR,2019-09-13 20:25:00,2019-09-13 22:41:00,122,20190706
511753,ATL,EWR,2019-09-11 20:25:00,2019-09-11 22:41:00,122,20190706
511821,ATL,EWR,2019-09-14 21:59:00,2019-09-15 00:17:00,122,20190706
511823,ATL,EWR,2019-09-13 19:25:00,2019-09-13 21:43:00,122,20190706
511829,ATL,EWR,2019-09-13 22:42:00,2019-09-14 01:00:00,122,20190706
511835,ATL,EWR,2019-09-10 19:25:00,2019-09-10 21:43:00,122,20190706
511839,ATL,EWR,2019-09-11 19:25:00,2019-09-11 21:43:00,122,20190706
511844,ATL,EWR,2019-09-12 22:42:00,2019-09-13 01:00:00,122,20190706
511911,ATL,EWR,2019-09-14 00:00:00,2019-09-14 02:23:00,122,20190706
511913,ATL,EWR,2019-09-10 00:00:00,2019-09-10 02:23:00,122,20190706
511940,ATL,EWR,2019-09-11 22:00:00,2019-09-12 00:25:00,122,20190706
511972,ATL,EWR,2019-09-10 20:45:00,2019-09-10 23:10:00,123,20190706
512098,ATL,EWR,2019-09-13 16:20:00,2019-09-13 18:30:00,123,20190706
512106,ATL,EWR,2019-09-14 14:45:00,2019-09-14 17:00:00,123,20190706
512118,ATL,EWR,2019-09-13 22:00:00,2019-09-14 00:25:00,123,20190706
512119,ATL,EWR,2019-09-14 22:00:00,2019-09-15 00:25:00,123,20190706
512318,ATL,EWR,2019-09-12 13:15:00,2019-09-12 15:29:00,146,20190706
512386,ATL,EWR,2019-09-13 13:15:00,2019-09-13 15:29:00,147,20190706
512468,ATL,EWR,2019-09-11 20:45:00,2019-09-11 23:10:00,151,20190706
512563,ATL,EWR,2019-09-10 13:18:00,2019-09-10 15:24:00,163,20190706
512601,ATL,EWR,2019-09-14 14:09:00,2019-09-14 16:15:00,164,20190706
512615,ATL,EWR,2019-09-13 02:35:00,2019-09-13 04:46:00,164,20190706
512642,ATL,EWR,2019-09-13 00:00:00,2019-09-13 02:23:00,164,20190706
540158,ATL,JFK,2019-09-12 01:26:00,2019-09-12 03:46:00,106,20190706
540200,ATL,JFK,2019-09-11 12:20:00,2019-09-11 14:29:00,107,20190706
540223,ATL,JFK,2019-09-10 14:45:00,2019-09-10 16:55:00,107,20190706
540230,ATL,JFK,2019-09-11 14:45:00,2019-09-11 16:55:00,107,20190706
540327,ATL,JFK,2019-09-14 14:48:00,2019-09-14 17:02:00,107,20190706
540335,ATL,JFK,2019-09-10 14:48:00,2019-09-10 17:02:00,107,20190706
540340,ATL,JFK,2019-09-12 14:48:00,2019-09-12 17:02:00,107,20190706
540346,ATL,JFK,2019-09-13 14:48:00,2019-09-13 17:02:00,107,20190706
540356,ATL,JFK,2019-09-11 14:48:00,2019-09-11 17:02:00,107,20190706
540477,ATL,JFK,2019-09-14 17:49:00,2019-09-14 20:07:00,107,20190706
540531,ATL,JFK,2019-09-11 01:26:00,2019-09-11 03:46:00,107,20190706
540532,ATL,JFK,2019-09-14 23:10:00,2019-09-15 01:30:00,107,20190706
